timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
812888;2.0;3.0;2048.0;-2.0;-1.0;0.0
812891;4.0;-2.0;2040.0;-2.0;2.0;2.0
812895;4.0;12.0;2052.0;-1.0;0.0;1.0
812898;0.0;-6.0;2038.0;-3.0;0.0;-2.0
812902;12.0;5.0;2039.0;-2.0;2.0;-3.0
812905;-3.0;-12.0;2052.0;0.0;3.0;-1.0
812909;4.0;-8.0;2044.0;-3.0;2.0;-2.0
812912;15.0;7.0;2044.0;3.0;0.0;1.0
812916;10.0;1.0;2030.0;-2.0;2.0;-1.0
812919;-1.0;-6.0;2056.0;-2.0;3.0;-1.0
812923;-11.0;4.0;2045.0;-2.0;0.0;0.0
812926;-8.0;-2.0;2046.0;-3.0;-3.0;0.0
812930;20.0;3.0;2041.0;-3.0;1.0;1.0
812933;-2.0;13.0;2044.0;-1.0;2.0;0.0
812937;-5.0;1.0;2047.0;0.0;-1.0;-1.0
812940;1.0;0.0;2049.0;2.0;2.0;-5.0
812944;1.0;13.0;2046.0;0.0;4.0;-2.0
812947;3.0;7.0;2061.0;-1.0;-1.0;5.0
812951;9.0;-2.0;2047.0;-1.0;2.0;-4.0
812954;5.0;3.0;2038.0;-2.0;5.0;-3.0
812958;-6.0;-2.0;2044.0;0.0;3.0;-2.0
812961;1.0;12.0;2053.0;-3.0;0.0;-3.0
812965;11.0;1.0;2040.0;0.0;3.0;-1.0
812968;-7.0;3.0;2047.0;-4.0;-3.0;-5.0
812972;-12.0;8.0;2040.0;-1.0;1.0;-2.0
812975;0.0;-3.0;2049.0;-1.0;0.0;-1.0
812979;-9.0;10.0;2044.0;0.0;2.0;1.0
812982;16.0;4.0;2037.0;0.0;1.0;-3.0
812986;-6.0;-7.0;2051.0;-1.0;0.0;-2.0
812989;9.0;-7.0;2048.0;-1.0;-1.0;-2.0
812993;15.0;2.0;2051.0;2.0;0.0;1.0
812996;-5.0;-2.0;2038.0;-2.0;4.0;0.0
813000;8.0;-1.0;2039.0;2.0;-1.0;1.0
813003;5.0;-7.0;2038.0;0.0;1.0;-1.0
813007;-2.0;1.0;2040.0;0.0;2.0;1.0
813010;4.0;10.0;2042.0;1.0;0.0;-2.0
813014;-4.0;7.0;2038.0;-2.0;1.0;-6.0
813017;-2.0;1.0;2045.0;1.0;2.0;-4.0
813021;3.0;7.0;2036.0;-3.0;3.0;-5.0
813024;3.0;-1.0;2036.0;2.0;1.0;-2.0
813028;5.0;5.0;2041.0;-2.0;1.0;2.0
813031;15.0;2.0;2054.0;-4.0;1.0;-5.0
813035;-3.0;4.0;2047.0;2.0;-1.0;-3.0
813038;4.0;12.0;2035.0;-2.0;0.0;-3.0
813042;-11.0;4.0;2052.0;0.0;2.0;-4.0
813045;-3.0;3.0;2047.0;0.0;1.0;-3.0
813049;8.0;0.0;2045.0;-2.0;5.0;-2.0
813052;4.0;-4.0;2046.0;1.0;0.0;-4.0
813056;-6.0;9.0;2048.0;0.0;1.0;-3.0
